City,Rank,State,Growth,Population,lat,lon
Santa Clarita,133,California,15.3,179590,34.3916641,-118.542586
Providence,134,Rhode Island,2.3,177994,41.8239891,-71.4128343
Garden Grove,135,California,5.8,175140,33.7739053,-117.9414477
Chattanooga,136,Tennessee,10.5,173366,35.0456297,-85.3096801
Oceanside,137,California,6.6,172794,33.1958696,-117.3794834
Jackson,138,Mississippi,-6.8,172638,32.2987573,-90.1848103
Fort Lauderdale,139,Florida,0.7,172389,26.1224386,-80.1373174
Santa Rosa,140,California,15.2,171990,38.440429,-122.7140548
Rancho Cucamonga,141,California,32.7,171386,34.1063989,-117.5931084
Port St. Lucie,142,Florida,91.7,171016,27.2730492,-80.3582261
Tempe,143,Arizona,5.8,168228,33.4255104,-111.9400054
Ontario,144,California,5.5,167500,34.0633443,-117.6508876
Vancouver,145,Washington,14.2,167405,45.6387281,-122.6614861
Cape Coral,146,Florida,60.4,165831,26.5628537,-81.9495331
Sioux Falls,147,South Dakota,31.1,164676,43.5445959,-96.7311034
Springfield,148,Missouri,7.8,164122,37.2089572,-93.2922989
Peoria,149,Arizona,46.5,162592,33.5805955,-112.2373779
Pembroke Pines,150,Florida,17.4,162329,26.007765,-80.2962555
Elk Grove,151,California,97.1,161007,38.4087993,-121.3716178
Salem,152,Oregon,16.4,160614,44.9428975,-123.0350963
Lancaster,153,California,33.8,159523,34.6867846,-118.1541632
Corona,154,California,23.6,159503,33.8752935,-117.5664384
Eugene,155,Oregon,14.4,159190,44.0520691,-123.0867536
Palmdale,156,California,33.7,157161,34.5794343,-118.1164613
Salinas,157,California,8.4,155662,36.6777372,-121.6555013
Springfield,158,Massachusetts,1.1,153703,42.1014831,-72.589811
Pasadena,159,Texas,7.5,152735,29.6910625,-95.2091006
Fort Collins,160,Colorado,26.6,152061,40.5852602,-105.084423
Hayward,161,California,7.5,151574,37.6688205,-122.0807964
Pomona,162,California,2.1,151348,34.055103,-117.7499909
Cary,163,North Carolina,55.1,151088,35.79154,-78.7811169
Rockford,164,Illinois,-1,150251,42.2711311,-89.0939952
Alexandria,165,Virginia,15,148892,38.8048355,-77.0469214
Escondido,166,California,10.7,148738,33.1192068,-117.086421
McKinney,167,Texas,165.3,148559,33.1972465,-96.6397822
Kansas City,168,Kansas,1.1,148483,39.114053,-94.6274636
Joliet,169,Illinois,36.5,147806,41.525031,-88.0817251
Sunnyvale,170,California,11.9,147559,37.36883,-122.0363496
Torrance,171,California,6.6,147478,33.8358492,-118.3406288
Bridgeport,172,Connecticut,5.4,147216,41.1865478,-73.1951767
Lakewood,173,Colorado,1.9,147214,39.7047095,-105.0813734
Hollywood,174,Florida,4.8,146526,26.0112014,-80.1494901
Paterson,175,New Jersey,-2.2,145948,40.9167654,-74.171811
Naperville,176,Illinois,12,144864,41.7508391,-88.1535352
Syracuse,177,New York,-0.9,144669,43.0481221,-76.1474244
Mesquite,178,Texas,14.7,143484,32.7667955,-96.5991593
Dayton,179,Ohio,-13.5,143355,39.7589478,-84.1916069
Savannah,180,Georgia,7.5,142772,32.0835407,-81.0998342
Clarksville,181,Tennessee,36.9,142357,36.5297706,-87.3594528
Orange,182,California,7.7,139969,33.7877944,-117.8531119
Pasadena,183,California,3.8,139731,34.1477849,-118.1445155
Fullerton,184,California,9.8,138981,33.8703596,-117.9242966
Killeen,185,Texas,52.1,137147,31.1171194,-97.7277959
Frisco,186,Texas,287.7,136791,33.1506744,-96.8236116
Hampton,187,Virginia,-6.6,136699,37.0298687,-76.3452218
McAllen,188,Texas,27.6,136639,26.2034071,-98.2300124
Warren,189,Michigan,-2.3,134873,42.5144566,-83.0146526
Bellevue,190,Washington,19.1,133992,47.610377,-122.2006786
West Valley City,191,Utah,22.2,133579,40.6916132,-112.0010501
Columbia,192,South Carolina,11.7,133358,34.0007104,-81.0348144
Olathe,193,Kansas,40.4,131885,38.8813958,-94.8191285
Sterling Heights,194,Michigan,5.2,131224,42.5803122,-83.0302033
New Haven,195,Connecticut,5.5,130660,41.308274,-72.9278835
Miramar,196,Florida,74.7,130288,25.9860762,-80.3035602
Waco,197,Texas,12.5,129030,31.549333,-97.1466695
Thousand Oaks,198,California,9.5,128731,34.1705609,-118.8375937
Cedar Rapids,199,Iowa,5.4,128429,41.9778795,-91.6656232
Charleston,200,South Carolina,29.2,127999,32.7764749,-79.9310512
Visalia,201,California,33.6,127763,36.3302284,-119.2920585
